BN,FPE,300,305,310,315,320,325,330,335,340,345,370,380,390
100021237RR0001,2016-06-30,131,,,10,,,,,,,285,3043084,13116177
100021252RR0001,2016-06-30,28,,8,2,,,,,,,18,146843,1893306
100040781RR0001,2016-03-31,1,1,,,,,,,,,,,30472
100042373RR0001,2016-03-31,2,,2,,,,,,,,4,10332,152688
100042670RR0001,2016-03-31,4,2,2,,,,,,,,2,10200,208262
100044452RR0001,2016-06-30,12,5,5,,,,,,,,171,691286,1160315
100048800RR0001,2016-08-31,5,1,3,1,,,,,,,4,59951,381781
100071927RR0001,2016-08-31,8,2,5,1,,,,,,,7,171429,657236
100072586RR0001,2016-12-31,68,,,3,1,3,1,1,,1,21,210913,6630570
100072933RR0001,2016-12-31,8,5,3,,,,,,,,12,73244,473627
100075415RR0001,2016-03-31,34,,9,1,,,,,,,73,787695,2481971
100075423RR0001,2016-03-31,17,6,11,,,,,,,,17,135618,863874
100075472RR0001,2016-03-31,16,8,2,,,,,,,,2,46289,881948
100090059RR0001,2016-03-31,,,,,,,,,,,,,
100090091RR0001,2016-03-31,25,15,10,,,,,,,,11,119967,1017105
100096585RR0001,2016-12-31,4,1,3,,,,,,,,2,7693,154909
100107598RR0001,2016-06-30,,,,,,,,,,,9,44675,44675
100110626RR0001,2016-04-30,3,2,1,,,,,,,,3,72064,72064
100148196RR0001,2016-03-31,5,4,1,,,,,,,,7,55816,251796
100161512RR0001,2016-07-31,,,,,,,,,,,,,
100172188RR0001,2016-03-31,4,2,2,,,,,,,,1,3500,210465
100192012RR0001,2016-10-31,,,,,,,,,,,12,69604,69604
100192194RR0001,2016-03-31,4,1,2,,,,,,,,8,111655,276871
100193457RR0001,2016-12-31,8,3,8,,,,,,,,3,76590,599554
100220417RR0001,2016-12-31,,,,,,,,,,,2,6315,6315
100221910RR0001,2016-12-31,9,7,2,,,,,,,,8,112374,413041
100238252RR0001,2016-03-31,1,1,,,,,,,,,1,15300,53399
100249168RR0001,2016-03-31,,2,,,,,,,,,2,6966,6966
100295138RR0001,2016-07-31,1,1,,,,,,,,,,,33746
100295823RR0001,2016-09-30,7,5,2,,,,,,,,4,13703,319341
100296318RR0001,2016-03-31,6,5,1,,,,,,,,2,5822,230532
100296490RR0001,2016-03-31,12,11,1,,,,,,,,3,6984,362801
100299163RR0001,2016-12-31,1,1,,,,,,,,,,,10550
100300219RR0001,2016-03-31,,,,,,,,,,,6,,40839
100300748RR0001,2016-03-31,,,,,,,,,,,,,
100300979RR0001,2016-06-30,,,,,,,,,,,,,
100301019RR0001,2016-01-31,1,1,,,,,,,,,,,33950
100301290RR0001,2016-08-31,,,,,,,,,,,,,
100301464RR0001,2016-03-31,1,1,,,,,,,,,3,5829,24221
100301845RR0001,2016-12-31,4,3,1,,,,,,,,3,13948,154579
100301878RR0001,2016-03-31,15,9,1,,,,,,,,4,27072,408611
100301894RR0001,2016-03-31,,,,,,,,,,,,,
100302702RR0001,2016-03-31,20,23,6,1,,,,,,,6,23676,914279
100302801RR0001,2016-03-31,5,5,,,,,,,,,2,9811,108369
100302827RR0001,2016-12-31,2,1,1,,,,,,,,,,69016
100303387RR0001,2016-03-31,,,,,,,,,,,,,
100303486RR0001,2016-03-31,,,,,,,,,,,,,
100303817RR0001,2016-03-31,2,1,1,,,,,,,,1,7005,87020
100304005RR0001,2016-03-31,4,3,1,,,,,,,,,,155017
100304344RR0001,2016-03-31,,,,,,,,,,,,,
100304518RR0001,2016-03-31,,,,,,,,,,,,,
100304591RR0001,2016-03-31,2,2,,,,,,,,,3,22837,97632
100305275RR0001,2016-03-31,8,1,7,,,,,,,,,,157707
100305283RR0001,2016-03-31,3,3,,,,,,,,,8,52975,148187
100305473RR0001,2016-12-31,,,,,,,,,,,,,
100305507RR0001,2016-03-31,2,3,,,,,,,,,,,89295
100305663RR0001,2016-03-31,4,1,3,,,,,,,,,,196945
100306067RR0001,2016-06-30,9,6,2,1,,,,,,,4,36720,305996
100306174RR0001,2016-12-31,,,,,,,,,,,2,45144,45144
100306182RR0001,2016-12-31,3,3,,,,,,,,,,,118896
100306323RR0002,2016-03-31,8,7,1,,,,,,,,,,280922
100306836RR0001,2016-03-31,3,2,1,,,,,,,,5,33541,135017
100306950RR0001,2016-03-31,1,1,,,,,,,,,,,33319
100307016RR0001,2016-03-31,1,,,,,,,,,,,,54677
100316132RR0001,2016-03-31,,,,,,,,,,,1,21706,21706
100318195RR0001,2016-03-31,116,113,2,1,,,,,,,9,180499,2640130
100318310RR0001,2016-06-30,1,1,,,,,,,,,4,9029,24483
100318997RR0001,2016-09-30,5,4,1,,,,,,,,8,39622,201802
100319797RR0001,2016-03-31,200,,7,2,1,,,,,,16,,6043814
100334994RR0001,2016-03-31,3,1,2,,,,,,,,8,24450,165445
100338797RR0001,2016-12-31,69,,,,,,,,,,49,,
100356047RR0001,2016-06-30,1,,,,,,,,,,4,27030,24369
100356476RR0001,2016-03-31,,,,,,,,,,,,,
100384734RR0001,2016-08-31,3,1,2,,,,,,,,9,76740,142238
100405299RR0001,2016-08-31,17,15,2,,,,,,,,,,532700
100452838RR0001,2016-06-30,2,2,,,,,,,,,7,40785,101831
100459932RR0001,2016-01-31,,,,,,,,,,,,,
100462118RR0001,2016-06-30,7,7,,,,,,,,,2,2176,202208
100489897RR0001,2016-11-30,,,,,,,,,,,,,
